,target,prediction,class_0_prob,class_1_prob,gender
7762,0,0,0.9953062113712806,0.004693788628719429,Male
23881,0,0,0.9982584475593825,0.0017415524406174557,Female
30507,0,0,0.9966474825025126,0.003352517497487449,Male
28911,0,0,0.9955478954476605,0.004452104552339501,Female
19484,0,0,0.9729790267907443,0.02702097320925571,Male
43031,0,0,0.5878106475899725,0.4121893524100276,Male
28188,0,0,0.7585355412674317,0.24146445873256833,Male
12761,0,0,0.8963038093237512,0.10369619067624879,Male
40834,0,0,0.7133576237716,0.2866423762284001,Female
27875,0,0,0.7024187369840382,0.29758126301596177,Female
1276,1,1,0.1576436062218156,0.8423563937781844,Male
22608,1,0,0.6901645802124721,0.30983541978752793,Male
36230,0,0,0.9844823130493461,0.015517686950653975,Female
13398,0,0,0.6967275704980191,0.3032724295019808,Male
43536,0,0,0.9656296468777845,0.03437035312221544,Male
18627,0,0,0.7264042503551162,0.2735957496448838,Male
38424,0,0,0.6538927655234883,0.34610723447651176,Male
35505,1,1,0.30349965762196074,0.6965003423780393,Male
2372,0,0,0.7604283158560942,0.23957168414390587,Male
3375,0,0,0.7092197272336388,0.2907802727663612,Male
28331,0,0,0.9950297530010003,0.00497024699899975,Female
46820,1,1,0.14329818552893947,0.8567018144710605,Male
147,0,0,0.9940775228840225,0.005922477115977504,Female
21063,1,1,0.3729323433206796,0.6270676566793204,Male
20139,0,0,0.9260608878401602,0.0739391121598398,Female
23288,0,0,0.7264547966817476,0.2735452033182524,Male
18957,0,0,0.7865354075747919,0.21346459242520804,Female
31256,1,0,0.6493501436670459,0.35064985633295415,Male
29642,1,0,0.6563703354816768,0.3436296645183233,Male
23638,0,0,0.5703195186573775,0.42968048134262243,Female
18067,0,0,0.9725183139541684,0.027481686045831552,Female
879,0,0,0.9928760114420624,0.007123988557937588,Female
7155,1,1,0.01851407242102021,0.9814859275789798,Male
43769,0,0,0.887953346881619,0.11204665311838097,Male
17697,0,0,0.9703195151893027,0.02968048481069726,Female
21167,0,0,0.9581738458409608,0.04182615415903925,Female
3136,0,0,0.9857741780366318,0.014225821963368199,Male
34254,0,0,0.996219570379466,0.0037804296205339893,Female
17657,0,0,0.9759683426373958,0.024031657362604122,Male
37254,0,0,0.9309714591172596,0.06902854088274031,Male
1422,0,0,0.9836192695073425,0.0163807304926575,Female
32507,0,1,0.32289179657498435,0.6771082034250157,Male
30150,0,0,0.9897916100829848,0.010208389917015236,Female
14172,1,1,0.27539396688442275,0.7246060331155773,Male
32273,0,0,0.9853706315735048,0.014629368426495216,Male
48262,0,0,0.8303272881879005,0.16967271181209947,Male
10007,0,1,0.45907492803116334,0.5409250719688367,Female
47649,1,0,0.9422180136597321,0.05778198634026791,Female
43058,0,0,0.9855000498574668,0.01449995014253328,Female
708,0,0,0.6721935567074995,0.32780644329250047,Male
26338,0,0,0.9932194276838072,0.006780572316192731,Male
8406,0,0,0.9646070143269019,0.035392985673098114,Female
43953,0,0,0.9830548703178774,0.01694512968212258,Male
39987,0,0,0.5027565086782768,0.4972434913217232,Male
20882,0,1,0.4750740136701719,0.5249259863298281,Male
45442,0,0,0.9978115027598297,0.002188497240170302,Male
5187,0,0,0.8744553151630565,0.12554468483694345,Female
37557,0,0,0.6863001137904989,0.3136998862095011,Male
2868,0,0,0.9814144367182903,0.018585563281709672,Male
33381,0,0,0.9894688336302275,0.010531166369772516,Female
3030,0,0,0.9708455200909263,0.029154479909073754,Female
6202,0,0,0.6460856783384161,0.3539143216615839,Male
16714,0,0,0.9973044591654264,0.002695540834573598,Female
9086,0,0,0.8741480148138785,0.1258519851861215,Male
6111,1,1,0.27215702977199596,0.727842970228004,Male
36309,1,0,0.6979335461805056,0.30206645381949443,Male
16171,1,0,0.9719628723063763,0.028037127693623633,Male
24735,0,1,0.36039616244426687,0.6396038375557331,Male
27700,0,0,0.9956358353586157,0.004364164641384283,Female
36862,1,0,0.5544714106505724,0.4455285893494276,Female
31220,0,0,0.7827236210827593,0.2172763789172407,Male
2191,0,0,0.9863497314682655,0.0136502685317345,Female
44818,0,0,0.9539041117360724,0.04609588826392762,Male
26394,0,0,0.9693174390899252,0.030682560910074857,Female
6736,0,0,0.9975148164960179,0.002485183503982135,Male
4538,0,0,0.9974827204092945,0.0025172795907054644,Female
3928,0,0,0.8373953329801977,0.16260466701980222,Male
35177,0,0,0.8981104261142925,0.10188957388570746,Male
1414,0,0,0.7197634042784813,0.28023659572151866,Male
34378,0,0,0.8355732640036178,0.1644267359963822,Female
15298,0,0,0.7057660927931253,0.29423390720687476,Male
24534,1,0,0.5307036527051359,0.46929634729486414,Male
47390,0,0,0.9914866334484457,0.008513366551554326,Male
20757,0,0,0.9989861262684243,0.0010138737315756705,Male
9743,0,0,0.9485519206229163,0.05144807937708371,Male
8871,0,0,0.9976566326272547,0.0023433673727453297,Female
13263,0,0,0.9316131950701253,0.06838680492987474,Male
3025,0,0,0.823625589817376,0.176374410182624,Male
31643,0,1,0.35578845658251634,0.6442115434174837,Male
13519,0,0,0.9629336400876916,0.037066359912308486,Male
20355,1,0,0.6856813648029407,0.3143186351970593,Male
3000,0,0,0.958860736472343,0.04113926352765694,Male
6660,1,1,0.42798409123228986,0.5720159087677101,Male
31160,0,0,0.8918531210363574,0.10814687896364264,Male
5264,1,0,0.5877361288427633,0.4122638711572367,Male
2210,0,0,0.9885414831632859,0.011458516836714056,Female
32845,0,1,0.437070601334127,0.562929398665873,Male
36853,1,0,0.6513214140646078,0.3486785859353922,Male
28697,0,0,0.8542239137467348,0.14577608625326524,Female
3792,0,1,0.3797762007912884,0.6202237992087116,Male
45971,0,0,0.5041397140897497,0.4958602859102504,Male
17825,0,0,0.6509369075224805,0.3490630924775195,Male
6478,1,1,0.00798655790760372,0.9920134420923963,Male
44388,1,1,0.2748786619524465,0.7251213380475535,Male
15153,1,0,0.9579784340434894,0.04202156595651069,Male
